000	yuji_voice_000_t00m00_0s.mp3	3.37	ko	0.34	One, two, three, four, five, six, seven, eight.
001	yuji_voice_001_t00m03_6s.mp3	1.01	en	0.57	Hup! Hup! Hup!
002	yuji_voice_002_t00m04_8s.mp3	4.02	en	0.98	My fist! I'll send you flying! I hope you're ready for this! I'll blast you away!
003	yuji_voice_003_t00m09_1s.mp3	0.62	en	0.96	Focus.
004	yuji_voice_004_t00m10_5s.mp3	1.27	en	0.98	There! Dead Lost!
005	yuji_voice_005_t00m24_5s.mp3	4.28	en	0.99	I'll finish this from up close! There! Fall to pieces! I'll stop you when you're tracked!
006	yuji_voice_006_t00m29_8s.mp3	3.21	en	0.99	Stay right there, to the gut! Here I come, this'll knock you out!
007	yuji_voice_007_t00m33_2s.mp3	1.86	en	0.99	I'll wipe you out! I'll crush you!
008	yuji_voice_008_t00m35_2s.mp3	4.06	en	0.98	I see it! Hope you're ready! I'll make you pay! Cat-
009	yuji_voice_009_t00m39_5s.mp3	3.64	en	0.99	Serious I remember how it felt time to finish this
010	yuji_voice_010_t00m43_4s.mp3	1.21	en	0.99	Put it in your fist!
011	yuji_voice_011_t00m44_8s.mp3	0.92	en	0.96	With this fist!
012	yuji_voice_012_t00m45_9s.mp3	1.86	en	0.99	I'll let it all out! Gotcha!
013	yuji_voice_013_t00m47_9s.mp3	0.95	en	0.99	Now we're holding back!
014	yuji_voice_014_t01m09_0s.mp3	2.73	en	0.95	Checkmate!
015	yuji_voice_015_t01m11_9s.mp3	2.19	en	0.98	Take that! Take this!
016	yuji_voice_016_t01m37_9s.mp3	0.75	en	0.96	Take that!
017	yuji_voice_017_t01m38_9s.mp3	1.09	en	0.39	
018	yuji_voice_018_t01m40_2s.mp3	0.73	en	0.95	for
019	yuji_voice_019_t01m41_3s.mp3	0.71	en	0.96	Take this!
020	yuji_voice_020_t01m42_4s.mp3	2.08	en	0.98	Full power! This is it!
021	yuji_voice_021_t01m44_7s.mp3	0.76	en	0.90	Found an opening.
022	yuji_voice_022_t01m45_6s.mp3	5.58	en	0.99	Got you! You're not getting away! I can land it now! Got the first strike! Got a head start! That's how it goes!
023	yuji_voice_023_t01m51_4s.mp3	0.64	en	0.99	Here we go.
024	yuji_voice_024_t01m52_2s.mp3	1.01	en	0.99	Now I'm warmed up!
025	yuji_voice_025_t01m53_4s.mp3	2.04	en	1.00	Now I'm feeling it! I'm getting the heck of it!
026	yuji_voice_026_t02m03_7s.mp3	0.92	en	0.99	after all this
027	yuji_voice_027_t02m04_9s.mp3	2.86	en	0.99	I'm not gonna lose now! I'm putting it all out there!
028	yuji_voice_028_t02m08_0s.mp3	1.33	en	1.00	Let's put an end to this!
029	yuji_voice_029_t02m09_5s.mp3	1.07	en	0.99	I've got another chance!
030	yuji_voice_030_t02m10_8s.mp3	2.01	en	0.99	Follow through! Gotta take this chance!
031	yuji_voice_031_t02m13_1s.mp3	1.33	en	0.67	Not done yet, did it?
032	yuji_voice_032_t02m14_7s.mp3	5.07	en	0.99	Yes! I did it! That was close! Do this with me! Let's get them together! Nice!
033	yuji_voice_033_t02m19_9s.mp3	3.69	en	0.99	We got them! I can't bring it out yet! I can't now! Why now?
034	yuji_voice_034_t02m23_8s.mp3	1.21	en	0.30	Gah! Gah!
035	yuji_voice_035_t02m25_2s.mp3	1.76	en	0.71	NGH! NGH! NGH!
036	yuji_voice_036_t02m27_2s.mp3	0.97	en	0.36	Gah! Ugh!
037	yuji_voice_037_t02m28_4s.mp3	0.61	en	0.39	
038	yuji_voice_038_t02m29_4s.mp3	0.58	en	0.65	Gah!
039	yuji_voice_039_t02m38_4s.mp3	5.01	en	0.61	GAH! GAH! GAH!
040	yuji_voice_040_t02m43_6s.mp3	0.92	en	0.99	Come on!
041	yuji_voice_041_t02m44_7s.mp3	2.72	en	0.99	Saw that coming! Try harder! I can take this!
042	yuji_voice_042_t02m47_6s.mp3	0.81	en	0.98	dry again!
043	yuji_voice_043_t02m48_6s.mp3	1.55	en	0.99	You think that'll stop me?
044	yuji_voice_044_t02m50_6s.mp3	0.64	en	0.39	
045	yuji_voice_045_t02m51_4s.mp3	1.49	en	0.99	Crap! I'm onto you!
046	yuji_voice_046_t02m53_1s.mp3	2.27	en	0.99	That was close.
047	yuji_voice_047_t02m55_6s.mp3	3.99	en	0.98	Damn! Duh! Bruh! Duh! Oh, I'm not done yet!
048	yuji_voice_048_t02m59_8s.mp3	2.05	en	0.99	Won't get rid of me that easy. Come on.
049	yuji_voice_049_t03m04_4s.mp3	0.62	en	0.96	still
050	yuji_voice_050_t03m05_3s.mp3	1.70	en	1.00	Guys, I'm still in this!
051	yuji_voice_051_t03m07_3s.mp3	0.72	en	0.97	You bet!
052	yuji_voice_052_t03m08_2s.mp3	1.27	en	0.99	It's now or never. Oh!
053	yuji_voice_053_t03m09_7s.mp3	4.34	en	0.99	I'm home numb. I can't break free. I can't stop it shoot
054	yuji_voice_054_t03m22_1s.mp3	3.42	en	0.99	Why do I feel heavy? Why do I feel tired? Tired virgin fist!
