000	ghostface_000_t00m00_0s.mp3	0.94	1.00	Surprise.
001	ghostface_001_t00m01_4s.mp3	1.73	1.00	See you soon!
002	ghostface_002_t00m04_4s.mp3	1.55	1.00	We're not finished yet!
003	ghostface_003_t00m06_5s.mp3	2.72	1.00	I'm afraid that was a wrong answer.
004	ghostface_004_t00m09_6s.mp3	2.33	1.00	Where'd you learn to punch like that?
005	ghostface_005_t00m12_4s.mp3	3.10	1.00	I'm happy to put you in the hospital.
006	ghostface_006_t00m16_1s.mp3	2.13	1.00	You're going to the fucking morgue!
007	ghostface_007_t00m18_7s.mp3	2.34	1.00	Don't you watch scary movies?
008	ghostface_008_t00m21_4s.mp3	1.44	1.00	Don't hang up on me again!
009	ghostface_009_t00m23_4s.mp3	2.34	1.00	You'll die when I want you to.
010	ghostface_010_t00m26_2s.mp3	2.34	1.00	Do you want to die tonight?
011	ghostface_011_t00m29_0s.mp3	3.01	1.00	I've just enough time to slice you open.
012	ghostface_012_t00m32_4s.mp3	1.44	1.00	Did you miss me?
013	ghostface_013_t00m34_3s.mp3	2.57	1.00	You're too weak for this franchise.
014	ghostface_014_t00m37_3s.mp3	1.98	1.00	This isn't a movie.
015	ghostface_015_t00m39_8s.mp3	1.50	1.00	It's a bloodbath!
016	ghostface_016_t00m41_8s.mp3	1.53	1.00	You're dying.
017	ghostface_017_t00m43_8s.mp3	1.97	1.00	We all go a little mad.
018	ghostface_018_t00m46_3s.mp3	1.56	1.00	Feeling woozy.
019	ghostface_019_t00m48_3s.mp3	1.85	1.00	Now that's scary.
020	ghostface_020_t00m50_6s.mp3	1.08	1.00	Let's eat out.
021	ghostface_021_t00m52_1s.mp3	0.92	1.00	Murdered
022	ghostface_022_t00m53_5s.mp3	2.24	1.00	Kill, kill, kill!
023	ghostface_023_t00m56_2s.mp3	0.74	1.00	Heh heh heh.
024	ghostface_024_t00m57_4s.mp3	1.81	1.00	Do you want to die?
025	ghostface_025_t00m59_7s.mp3	2.03	1.00	It's a simple game.
026	ghostface_026_t01m02_1s.mp3	1.63	1.00	Now you lose.
027	ghostface_027_t01m04_2s.mp3	1.70	1.00	Not in this game.
028	ghostface_028_t01m06_4s.mp3	2.52	1.00	Hahaha! Better start running!
029	ghostface_029_t01m09_5s.mp3	0.87	1.00	Cut the crap!
030	ghostface_030_t01m10_9s.mp3	1.86	1.00	You won't get a sequel!
