000	tobi_voice_000_t00m00_0s.mp3	1.94	ja	1.00	時代大兵弦の術!	The Jetsu of the Revolutionary Revolution!
001	tobi_voice_001_t00m02_5s.mp3	2.17	ja	1.00	セッティングオッケー! よいしょ!	Setting OK! All right!
002	tobi_voice_002_t00m13_0s.mp3	2.93	ja	1.00	今度からこういうのは先輩にやってもらおう! イエッ!	From now on, I'm going to be your senpai! Eek!
003	tobi_voice_003_t00m26_2s.mp3	3.45	ja	1.00	どうせ俺をいじめる気でしょ? ひどいなぁ!	You're going to bully me, aren't you? You're so mean!
004	tobi_voice_004_t00m29_7s.mp3	2.62	ja	1.00	無駄な争いはやめましょうよ	Let's stop this useless fight!
005	tobi_voice_005_t00m32_4s.mp3	1.98	ja	1.00	やるときはやるっすよ!俺!	I'll do it when I want to!
006	tobi_voice_006_t00m34_5s.mp3	4.14	ja	1.00	さすが俺の術! かっこいい!	As expected of my art! So cool!
007	tobi_voice_007_t00m38_7s.mp3	2.83	ja	1.00	俺の術、特別披露しちゃいますよ!	I'll show you my special skills!
008	tobi_voice_008_t00m41_6s.mp3	3.90	ja	1.00	はぁ、超面倒くさい。さっさと終わらせちゃお!	Ah, it's so troublesome. I'll finish it right away!
009	tobi_voice_009_t00m45_7s.mp3	1.39	ja	1.00	はあああああ	Haaah!
010	tobi_voice_010_t00m47_2s.mp3	2.15	ja	1.00	イタチさんに後で謝らなきゃ	I'll have to apologize to itachi-san later.
011	tobi_voice_011_t00m49_6s.mp3	0.82	ja	1.00	シンパー!	Senpai!
012	tobi_voice_012_t00m50_5s.mp3	4.46	ja	1.00	この人動きが早すぎすよ 僕らじゃ叶いませんって	This person's movement is too fast! We won't be able to do it!
013	tobi_voice_013_t00m55_7s.mp3	1.51	ja	1.00	またやる気なんすか?	Are you going to do it again?
