000	isshiki_line_01_000.0s.mp3	3.16	0.2011	ja	1.00	実に愚かな選択をしたものだ	Actually, I made a stupid choice.
001	isshiki_line_02_004.0s.mp3	2.60	0.1625	ja	1.00	わざわざ恥をかきに来るとは	If you come here to draw a haji...
002	isshiki_line_03_007.4s.mp3	2.76	0.2267	ja	1.00	今更逃げられるわけがないだろう	There's no way you can get away from me now.
003	isshiki_line_04_010.9s.mp3	2.27	0.1687	ja	1.00	白の違いもわからんか	I don't even know the difference between white and white.
004	isshiki_line_05_013.8s.mp3	3.22	0.1978	ja	1.00	いかにあらがおうと結果は変わらんぞ	The result will not change if you try to resist.
005	isshiki_line_06_018.0s.mp3	3.19	0.1895	ja	1.00	おお、なかなかの癒やつ感じゃないか	Oh, that's a pretty cool feeling.
006	isshiki_line_07_021.9s.mp3	3.69	0.2002	ja	1.00	無駄な努力という言葉を知っているか?	Do you know the word useless effort?
007	isshiki_line_08_026.3s.mp3	2.79	0.2160	ja	1.00	自ら寿命を縮めにくるか	Are you going to bury yourself in the grave?
008	isshiki_line_09_029.9s.mp3	3.41	0.1621	ja	1.00	へっへっへ おてなみ拝見といこう	Hehehe, let's go to the back of the tent.
009	isshiki_line_10_033.8s.mp3	2.06	0.1531	ja	1.00	なんだろうと関係ないな	It has nothing to do with what it is.
010	isshiki_line_11_036.9s.mp3	2.65	0.1881	ja	1.00	どうやら地獄を見たいようだな	Looks like he wants to see hell.
011	isshiki_line_12_040.3s.mp3	1.13	0.0990	ja	1.00	わからんな	I don't get it.
012	isshiki_line_13_041.9s.mp3	2.59	0.2177	ja	1.00	なぜ自ら死地に踏み込む	Why do you step into your own world?
013	isshiki_line_14_045.1s.mp3	1.40	0.1995	ja	1.00	ご苦労だったな	Thank you for your hard work.
014	isshiki_line_15_046.8s.mp3	1.45	0.2105	ja	1.00	7代目ホーカーゲー	Nanada ime hokage
015	isshiki_line_16_048.9s.mp3	3.71	0.1830	ja	1.00	さて、終わりだ!ウチハサスケ!	Well, it's over, Uchihasa-suke.
016	isshiki_line_17_053.2s.mp3	4.20	0.2226	ja	1.00	どこまで行こうとお前は器だかわき	How far are you going to go, Kawaki?
017	isshiki_line_18_058.4s.mp3	1.49	0.1384	ja	1.00	知らなかったか	I didn't know that.
018	isshiki_line_19_060.4s.mp3	2.19	0.1986	ja	1.00	お前に俺は倒せん	I won't let you down.
019	isshiki_line_20_063.5s.mp3	2.99	0.2290	ja	1.00	朝墓にも俺に挑んだ罰だ	It's the punishment I've been given to Asahaka.
020	isshiki_line_21_066.9s.mp3	1.00	0.1468	ja	1.00	消えうせろ	Get out of my way.
021	isshiki_line_22_069.0s.mp3	2.12	0.1829	ja	1.00	シャクラの無駄遣いだったな	It was a waste of Shakura.
022	isshiki_line_23_071.7s.mp3	1.81	0.1841	ja	1.00	晩作付きたようだな	Looks like they've made a lot of mistakes.
023	isshiki_line_24_074.1s.mp3	1.61	0.2237	ja	1.00	そろそろお開きだ	It's time to open it.
024	isshiki_line_25_076.2s.mp3	2.75	0.1885	ja	1.00	すべて無駄だったというわけだ	It was all useless.
025	isshiki_line_26_079.6s.mp3	1.49	0.1771	ja	1.00	戦律しろ!	Get out of my way!
026	isshiki_line_27_081.4s.mp3	0.29	0.1803	ja	1.00	ん!	HMM
027	isshiki_line_28_082.0s.mp3	1.82	0.2268	ja	1.00	お前はこれで終わる	This is the end for you.
028	isshiki_line_29_084.2s.mp3	3.75	0.1964	ja	1.00	当然の結果にして これが現実だ	Of course, this is the reality.
029	isshiki_line_30_088.4s.mp3	0.69	0.1833	ja	1.00	コミが	A piece of trash.
030	isshiki_line_31_089.5s.mp3	1.89	0.2081	ja	1.00	俺に勝てると思ったが	You think you can beat me?
031	isshiki_line_32_092.2s.mp3	3.77	0.1944	ja	1.00	悲しいかな それがお前の実力だ	Is it sad? That is your true power.
032	isshiki_line_33_096.6s.mp3	3.95	0.2243	ja	1.00	俺に勝てる見込みなどなかったのだ 最初からな	I didn't even have a chance to win. From the very beginning.
033	isshiki_line_34_101.2s.mp3	4.03	0.2114	ja	1.00	お前ごときに相手してやったことを ありがたく思え	I'm grateful for what you've done to me.
